id,sexo,edad,ocupado,ingreso,horas,sector,anio
EMP-0001,M,27,1,17698.84,44,Construcción,2023
EMP-0002,M,38,0,0.0,0,Desocupado,2022
EMP-0003,M,32,0,0.0,0,Desocupado,2023
EMP-0004,F,38,1,35316.34,50,Manufactura,2023
EMP-0005,F,49,0,0.0,0,Desocupado,2022
EMP-0006,M,24,0,0.0,0,Desocupado,2023
EMP-0007,F,51,0,0.0,0,Desocupado,2022
EMP-0008,F,44,0,0.0,0,Desocupado,2022
EMP-0009,F,48,0,0.0,0,Desocupado,2023
EMP-0010,M,57,1,9489.77,50,Agricultura,2023
EMP-0011,M,58,1,22126.37,60,Construcción,2022
EMP-0012,F,33,1,37920.2,40,Tecnología,2022
EMP-0013,M,24,0,0.0,0,Desocupado,2022
EMP-0014,M,28,1,8425.72,20,Comercio,2023
EMP-0015,M,41,1,23466.16,30,Construcción,2022
EMP-0016,F,29,1,18858.87,60,Tecnología,2022
EMP-0017,M,55,1,26775.04,44,Manufactura,2023
EMP-0018,F,47,0,0.0,0,Desocupado,2022
EMP-0019,F,46,0,0.0,0,Desocupado,2023
EMP-0020,M,62,1,16365.77,60,Manufactura,2023
EMP-0021,F,33,1,24819.17,40,Tecnología,2023
EMP-0022,F,60,1,24543.8,20,Tecnología,2022
EMP-0023,M,36,0,0.0,0,Desocupado,2022
EMP-0024,M,32,1,14769.43,48,Tecnología,2022
EMP-0025,F,58,1,31446.93,40,Comercio,2023
EMP-0026,F,23,0,0.0,0,Desocupado,2023
EMP-0027,M,29,1,23721.64,60,Agricultura,2023
EMP-0028,F,34,0,0.0,0,Desocupado,2023
EMP-0029,M,65,0,0.0,0,Desocupado,2022
EMP-0030,M,22,1,33664.36,30,Tecnología,2023
EMP-0031,M,23,0,0.0,0,Desocupado,2022
EMP-0032,M,52,1,27857.68,40,Tecnología,2023
EMP-0033,M,58,0,0.0,0,Desocupado,2022
EMP-0034,F,48,1,17168.19,48,Construcción,2022
EMP-0035,F,58,0,0.0,0,Desocupado,2023
EMP-0036,M,25,1,16435.3,20,Manufactura,2022
EMP-0037,F,33,0,0.0,0,Desocupado,2022
EMP-0038,M,47,1,28591.0,50,Construcción,2023
EMP-0039,F,44,1,22169.76,60,Manufactura,2023
EMP-0040,F,62,1,20785.57,44,Servicios,2023
EMP-0041,F,61,1,18118.89,50,Manufactura,2023
EMP-0042,F,25,0,0.0,0,Desocupado,2023
EMP-0043,F,60,1,25511.52,50,Comercio,2022
EMP-0044,M,33,0,0.0,0,Desocupado,2022
EMP-0045,F,53,1,32204.64,30,Servicios,2023
EMP-0046,F,56,1,37504.87,60,Servicios,2023
EMP-0047,F,25,1,11085.9,20,Agricultura,2022
EMP-0048,M,19,1,10929.51,20,Manufactura,2022
EMP-0049,F,48,1,22910.38,40,Comercio,2023
EMP-0050,F,57,1,35171.3,60,Tecnología,2023
EMP-0051,M,59,0,0.0,0,Desocupado,2022
EMP-0052,M,43,1,22198.33,20,Manufactura,2022
EMP-0053,F,38,1,10911.94,20,Construcción,2023
EMP-0054,M,56,1,22672.08,44,Manufactura,2022
EMP-0055,F,59,1,24091.39,60,Servicios,2023
EMP-0056,M,32,1,21058.47,60,Manufactura,2022
EMP-0057,M,45,1,18603.33,40,Servicios,2023
EMP-0058,F,23,0,0.0,0,Desocupado,2022
EMP-0059,M,24,1,32164.85,40,Construcción,2022
EMP-0060,M,60,1,34081.83,40,Manufactura,2022
EMP-0061,M,56,1,24915.47,20,Servicios,2022
EMP-0062,M,32,0,0.0,0,Desocupado,2023
EMP-0063,M,25,0,0.0,0,Desocupado,2022
EMP-0064,M,53,0,0.0,0,Desocupado,2022
EMP-0065,M,19,1,30634.7,50,Agricultura,2023
EMP-0066,F,29,0,0.0,0,Desocupado,2023
EMP-0067,F,27,1,9844.49,20,Construcción,2022
EMP-0068,M,44,1,18471.65,30,Tecnología,2023
EMP-0069,F,21,1,26152.98,60,Tecnología,2022
EMP-0070,M,46,1,25819.36,44,Manufactura,2023
EMP-0071,F,50,1,10437.58,44,Tecnología,2023
EMP-0072,M,20,1,8698.24,48,Servicios,2023
EMP-0073,F,26,0,0.0,0,Desocupado,2023
EMP-0074,M,25,1,20350.31,50,Servicios,2023
EMP-0075,F,50,1,31992.21,50,Comercio,2023
EMP-0076,F,45,1,33725.41,20,Construcción,2023
EMP-0077,M,63,1,10570.37,40,Comercio,2023
EMP-0078,F,57,1,35512.86,50,Comercio,2023
EMP-0079,F,33,1,23242.84,44,Manufactura,2023
EMP-0080,M,32,1,9367.76,30,Tecnología,2022
EMP-0081,F,40,1,27008.73,60,Servicios,2022
EMP-0082,F,27,1,25674.37,30,Tecnología,2022
EMP-0083,F,58,1,24475.8,60,Construcción,2023
EMP-0084,M,58,1,9116.87,44,Manufactura,2023
EMP-0085,M,55,1,9299.91,48,Manufactura,2023
EMP-0086,F,21,1,9378.66,40,Comercio,2023
EMP-0087,M,55,1,29906.55,60,Comercio,2023
EMP-0088,F,38,1,11676.69,48,Comercio,2023
EMP-0089,F,39,0,0.0,0,Desocupado,2022
EMP-0090,F,20,1,37720.57,44,Construcción,2022
EMP-0091,M,41,0,0.0,0,Desocupado,2023
EMP-0092,M,39,1,31466.03,20,Tecnología,2023
EMP-0093,F,39,1,18983.49,50,Agricultura,2022
EMP-0094,M,23,1,35419.14,30,Agricultura,2023
EMP-0095,F,56,1,16597.04,20,Manufactura,2023
EMP-0096,F,60,1,37912.09,50,Construcción,2022
EMP-0097,M,50,1,16574.85,40,Servicios,2023
EMP-0098,M,30,1,11803.3,30,Agricultura,2022
EMP-0099,F,60,1,26158.98,60,Construcción,2023
EMP-0100,F,28,1,30904.03,50,Servicios,2023
EMP-0101,F,44,1,14363.44,50,Manufactura,2023
EMP-0102,M,32,1,36933.5,40,Manufactura,2022
EMP-0103,M,61,0,0.0,0,Desocupado,2023
EMP-0104,M,36,0,0.0,0,Desocupado,2023
EMP-0105,F,30,0,0.0,0,Desocupado,2022
EMP-0106,M,21,1,18507.58,60,Comercio,2022
EMP-0107,M,23,0,0.0,0,Desocupado,2023
EMP-0108,M,50,1,9843.12,44,Servicios,2023
EMP-0109,M,19,1,22562.22,44,Servicios,2023
EMP-0110,F,41,1,35855.6,40,Tecnología,2023
EMP-0111,F,26,1,21646.1,60,Servicios,2023
EMP-0112,M,57,1,7589.12,20,Servicios,2022
EMP-0113,M,25,0,0.0,0,Desocupado,2022
EMP-0114,M,25,1,26807.5,44,Construcción,2023
EMP-0115,F,25,0,0.0,0,Desocupado,2023
EMP-0116,F,58,1,29274.87,30,Agricultura,2023
EMP-0117,F,57,1,19913.6,48,Tecnología,2022
EMP-0118,M,22,0,0.0,0,Desocupado,2022
EMP-0119,M,48,1,37412.22,44,Agricultura,2022
EMP-0120,M,22,1,27370.24,50,Comercio,2023
